Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017
"Cherokee County","Cherokee County, Georgia","1092129613","32974694","050","00","3","5","13057","13","057",214346,214346,105874,108472,214346,15801,17353,16510,9256,16402,27566,35412,32916,23432,12633,5293,1772,214346,193780,174243,11633,536,3484,84,487,3313,20566,11293,484,278,54,51,7248,1158
"Clarke County","Clarke County, Georgia","308727523","4752204","050","00","3","5","13059","13","059",116714,116714,55388,61326,116714,6960,5679,4894,2890,35426,19584,11744,10400,9185,5414,3116,1422,116714,104522,66674,30695,141,4811,48,270,1883,12192,5564,293,106,58,36,5493,642
"Clay County","Clay County, Georgia","506035709","56598884","050","00","3","5","13061","13","061",3183,3183,1462,1721,3183,205,199,196,117,253,302,283,450,555,353,188,82,3183,3157,1188,1920,11,10,1,0,27,26,9,3,0,0,0,4,10
"Clayton County","Clayton County, Georgia","366664243","7152613","050","00","3","5","13063","13","063",259424,259424,124232,135192,259424,21939,20779,20026,12235,27767,39896,39909,35713,23924,10876,4921,1439,259424,223977,36610,169020,562,12839,103,467,4376,35447,12350,2460,403,98,36,17909,2191
"Clinch County","Clinch County, Georgia","2072566618","61565598","050","00","3","5","13065","13","065",6798,6798,3315,3483,6798,526,529,464,324,618,778,860,949,882,526,273,69,6798,6562,4536,1876,38,13,4,16,79,236,45,10,6,0,0,160,15
"Cobb County","Cobb County, Georgia","879428364","12868473","050","00","3","5","13067","13","067",688078,688078,334369,353709,688078,48318,49463,48641,30065,62867,100817,108793,104692,74450,35949,17521,6502,688078,603748,387438,168053,1332,30432,267,2961,13265,84330,40585,3721,982,225,79,33340,5398
"Coffee County","Coffee County, Georgia","1489494986","71361932","050","00","3","5","13069","13","069",42356,42356,21455,20901,42356,3113,3035,3116,1837,4384,5806,5917,5777,4680,2828,1369,494,42356,38004,25907,11227,87,302,9,46,426,4352,1479,56,30,1,6,2629,151
"Colquitt County","Colquitt County, Georgia","1409350694","32337972","050","00","3","5","13071","13","071",45498,45498,22576,22922,45498,3788,3456,3269,2071,4349,5926,5989,5835,4952,3337,1790,736,45498,37735,26759,10143,100,289,12,42,390,7763,2682,67,118,5,7,4626,258
"Columbia County","Columbia County, Georgia","751329062","45363096","050","00","3","5","13073","13","073",124053,124053,60328,63725,124053,8305,9424,9979,6102,10100,15208,17984,19305,14946,7663,3730,1307,124053,117878,91517,18084,350,4726,185,213,2803,6175,3350,355,43,35,16,1690,686
"Cook County","Cook County, Georgia","588345665","15647080","050","00","3","5","13075","13","075",17212,17212,8372,8840,17212,1305,1288,1336,753,1534,2122,2241,2308,2005,1377,686,257,17212,16188,11171,4684,38,113,2,16,164,1024,354,20,2,1,3,573,71
